Food Name,Magn-esium,Sodium,Potassium,Copper,Mang-anese,Molyb-denum,Zinc,Chromium,Sulphur,Chlorine,Calcium,Phosp-horus,Iron,Carbs
"LIME, sweet, musambi",0,0,490,0.2,0,0,0,0,0,0,40,30,0.7,9.3
LOQUAT,0,0,390,0.1,0,0,0,0,0,0,30,20,1.3,9.6
MAHUA,0,0,0,0,0,0,0,0,0,0,45,22,0.23,22.7
MANGO RIPE,270,26,205,0.1,0.1,0,0.3,0,17,3,14,16,1.3,16.9
MANGOSTEEN,0,0,0,0,0,0,0,0,0,0,10,20,0.2,14.3
"MELON, musk",31,104.6,341,0,0,0,0,0,32,80,32,14,1.4,3.5
"MELON, sweeter",13,27.3,160,0.1,0,0,0,0,42,21,11,12,7.9,3.3
MULBERRY,0,0,0,0,0,0,0,0,0,0,70,30,2.3,10.3
ORANGE,9,4.5,9.3,0.6,0,0,0,0,7,5,26,20,0.32,10.9
ORANGE JUICE,0,0,0,0,0,0,0,0,0,0,5,9,0.7,1.9
PALMYRA FRUIT ripe (mesocarp),0,0,0,0,0,0,0,0,0,0,9,33,0,20.7
"PALMYRA FRUIT, tender",0,0,0,0,0,0,0,0,0,0,10,20,0.5,6.5
"PAPAYA, ripe",11,6,69,0.2,0,0,0,0,13,11,17,13,0.5,7.2
PASSION FRUIT,0,0,0,0,0,0,0,0,0,0,10,60,2,12.4
PASSION FRUIT JUICE,0,0,0,0,0,0,0,0,0,0,10,30,0.7,7.7
PEACHES,21,2,453,0.1,0,0,0,0,26,0,15,41,2.4,10.5
PEARS,7,6.1,96,0.4,0,0,0,0,14,1,8,15,0.5,11.9
PERSIMMON,0,0,0,0,0,0,0,0,0,0,15,10,0.3,17.9
PHALSA,72,4.4,351,0.1,0,0,0,0,13,86,129,39,3.1,14.7
PINE APPLE,33,34.7,37,0.1,0.6,0,0.1,0,20,13,20,9,2.42,10.8
PLUM,147,0.8,247,0.1,0,0,0,0,33,0,10,12,0.6,11.1
POMEGRANATE,44,0.9,133,0.3,0.8,0,0.8,0,12,2,10,70,1.79,14.5
PRUNES,0,0,0,0,0,0,0,0,0,0,10,18,0,12.8
PUMMELO,0,0,0,0,0,0,0,0,0,0,30,30,0.3,10.2
QUINCE,0,0,0,0,0,0,0,0,0,0,10,20,0.4,11.9
RAISINS,0,0,0,0,0,0,0,0,0,0,87,80,7.7,74.6
RASPBERRY,0,0,0,0,0,0,0,0,0,0,40,110,2.3,11.7
ROSE APPLE,4,34.1,50,0,0,0,0,0,13,4,10,30,0.5,8.5
SAPOTA,25,5.9,269,0.1,0.7,0,0.2,0,17,26,28,27,1.25,21.4
SEETHAPHAL,84,0,0,0.4,0.6,0,0.8,0,0,0,17,47,4.31,23.5
STRAWBERRY,0,0,0,0,0,0,0,0,0,0,30,30,1.8,9.8
TOMATO RIPE,0,12.9,146,0.2,0.3,0,0.4,0,11,6,48,20,0.64,3.6
TOMATILO,23,0.4,243,0.1,0,0,0,0,27,14,7,40,1.4,5.8
TREE TOMATO,34,1.7,539,0.2,0,0,0,0,37,10,12,46,1,6.7
WOOD APPLE,41,0,0,0.2,0.2,0,0.5,0,0,0,130,110,0.48,18.1
ZIZYPHUS,13,0,0,0.1,0.2,0,0.1,0,0,0,4,9,0.5,17
AIR,0,0,0,0.1,0,0,0,0,0,0,380,180,0.7,3.5
ANCHOVY,0,0,0,0,0,0,0,0,0,0,143,174,1.5,0.2
BACHA,0,0,0,0.1,0,0,0,0,0,0,520,180,0.7,6.1
BAM,0,0,0,0.1,0,0,0,0,0,0,330,240,0.8,6.9
BASPATA MACHLI,0,0,0,0,0,0,0,0,0,0,175,225,0,0
"BATA, small varieties",0,0,0,0.2,0,0,0,0,0,0,790,200,1.1,2.2
BELEY,0,0,0,0,0,0,0,0,0,0,370,330,1,2.9
"BHANGER, fresh",0,0,0,0,0,0,0,0,0,0,182,190,1.2,3.8
BHAGON dried,0,0,0,0,0,0,0,0,0,0,6235,207,9.3,1.8
BHANGAN BATA,0,0,0,0,0,0,0,0,0,0,580,310,1.1,6.7
BHEKTI fresh,0,66,173,0.1,0,0,0,0,0,0,480,350,3.1,3
BHEKTI dried,0,0,0,0,0,0,0,0,0,0,939,347,15,1.8
BHOLA,0,0,0,0.1,0,0,0,0,0,0,550,580,0.4,3.7
BIG JAWED JUMPER,0,0,0,0,0,0,0,0,0,0,214,306,3.4,0.1
BOAL,0,0,0,0.1,0,0,0,0,0,0,160,490,0.6,7.6
"BOMBAY DUCK, dried",0,0,0,0,0,0,0,0,0,0,1389,240,19.1,2.5
BLUE MUSSEL,0,0,0,0,0,0,0,0,0,0,1134,286,8,3.6
CAT FISH,0,0,0,0,0,0,0,0,0,0,10,230,0,0
CHELA,0,0,0,0,0,0,0,0,0,0,590,340,2,1.5
CHELA dried,0,0,0,0.5,0,0,0,0,0,0,3590,2342,0,0.1
CHINGRI small dried,0,0,0,0,0,0,0,0,0,0,3539,354,27.9,1.9
"CHINGRI goda, dried",0,0,0,1.4,0,0,0,0,0,0,3847,828,49.6,4.6
CHITAL,0,34,119,0.2,0,0,0,0,0,0,180,250,3,3.1
CRAB muscle,0,0,0,0,0,0,0,0,0,0,1370,150,21.2,3.3
CRAB small,0,0,0,0,0,0,0,0,0,0,1606,253,0,9.1
FOLUI,0,0,0,0,0,0,0,0,0,0,590,450,1.7,3.7
GHOL,0,0,0,0,0,0,0,0,0,0,90,150,2.1,0
GOGGLER,0,0,0,0,0,0,0,0,0,0,437,349,8.2,1
"HERRING, Indian",0,0,0,0,0,0,0,0,0,0,429,305,9.3,2.2
HERRING ox-eyed,0,0,0,0,0,0,0,0,0,0,429,131,6.3,0.8
HILSA,0,52,183,0.1,0,0,0,0,0,0,180,280,2.1,2.9
HORSE MACKEREL,0,0,0,0,0,0,0,0,0,0,357,262,2,0
INDIAN WHITING,0,0,0,0,0,0,0,0,0,0,71,262,2.2,1.6
JEW FISH (kora),0,0,0,0,0,0,0,0,0,0,286,305,4.4,0.2
JEW FISH (pallikora),0,0,0,0,0,0,0,0,0,0,214,262,4.8,0
KALABASU,0,0,0,0,0,0,0,0,0,0,320,380,0.8,2
KATLA,0,50,151,0.1,0,0,0,0,0,0,530,235,0.9,2.9
KHORSULA,0,0,0,0.1,0,0,0,0,0,0,410,160,0.6,1.5
KHOYRA fresh,0,0,0,0,0,0,0,0,0,0,590,220,0.7,5.2
KHOYRA dried,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
KOI,0,0,195,0.2,0,0,0,0,0,30,410,390,1.4,4.4
KOOCHA MACHLI,0,0,0,0,0,0,0,0,0,0,185,119,0,2.4
LATA,0,0,0,0,0,0,0,0,0,0,610,530,1.3,3.4
LOBSTER,0,0,0,0,0,0,0,0,0,0,16,279,0,0
MACKEREL,0,0,0,0,0,0,0,0,0,0,429,305,4.5,0.5
MAGUR,0,64,147,0,0,0,0,0,0,0,210,290,0.7,4.2
MAHASOLE,0,58,0,0.1,0,0,0,0,0,0,130,280,3.8,1
"MANDELI, dried",0,0,0,0,0,0,0,0,0,0,143,259,11.9,0
MRIGAL,0,0,0,0.1,0,0,0,0,0,0,350,280,1.1,3.2
MULLET,0,0,0,0,0,0,0,0,0,0,357,175,4.4,2.1
MUSHI dried,0,0,0,0,0,0,0,0,0,0,541,507,2.7,0
"MUSSEL, fresh water",0,0,0,0,0,0,0,0,0,0,592,406,0,2.1
"MUTIJELLA, dried",0,0,0,0,0,0,0,0,0,0,7240,834,1,3
OIL SARDINE,0,0,0,0,0,0,0,0,0,0,357,349,6.1,0.1
PABDA,0,0,0,0.1,0,0,0,0,0,0,310,210,1.3,4.6
PANGAS,0,0,0,0.1,0,0,0,0,0,0,180,130,0.5,1.7
PARSEY fresh,0,0,0,0.1,0,0,0,0,0,0,850,490,2.7,4.3
PARSEY dried,0,0,0,0,0,0,0,0,0,0,2231,396,17.4,3
"POMFRETS, black",0,0,0,0,0,0,0,0,0,0,286,306,2.3,1.5
"POMFRETS, white",0,0,0,0,0,0,0,0,0,0,200,290,0.9,1.8
PRAWN,0,66,262,0,0,0,0,0,0,0,323,278,5.3,0.8
PUTI,0,0,0,0,0,0,0,0,0,0,110,96,1,3.1
RAVAS,0,0,0,0,0,0,0,0,0,0,405,335,2,3.3
RAY,0,0,0,0,0,0,0,0,0,0,214,262,5.3,2.1
RIBBON FISH fresh,0,0,0,0,0,0,0,0,0,0,214,218,13.9,0.6
RIBBON FISH dried,0,0,0,0,0,0,0,0,0,0,739,700,4.2,0
ROHU,13,101,288,0.1,0,0,0,0,103,3,650,175,1,4.4
SARDINE,0,0,0,0,0,0,0,0,0,0,90,360,2.5,0
SARPUTI,0,0,0,0.1,0,0,0,0,0,0,220,120,0.5,2.3
SHARK,0,0,0,0,0,0,0,0,0,0,357,262,1.4,0.8
"SHRIMP (small, dried)",0,0,0,0,0,0,0,0,0,0,4384,1160,0,0
SEER,0,0,0,0,0,0,0,0,0,0,71,572,5.4,0
SILVER BELLY,0,0,0,0,0,0,0,0,0,0,715,741,2.2,0
SINGHALA,0,0,0,0,0,0,0,0,0,0,98,152,1.8,13.9
SINGHI,0,53,223,0.2,0,0,0,0,0,0,670,650,2.3,6.9
SOLE,0,0,0,0.1,0,0,0,0,0,0,140,95,0.5,2.2
SOLE (malahar),0,0,0,0,0,0,0,0,0,0,1072,524,0.5,0
SURMAI fresh,0,0,0,0,0,0,0,0,0,0,92,161,2,0
SURMAI dried,0,0,0,0,0,0,0,0,0,0,148,172,4.4,0
TAPRA (dried),0,0,0,0.7,0,0,0,0,0,0,771,552,19.3,1
TAPSI (dried),0,0,0,1.2,0,0,0,0,0,0,1597,595,41.2,0
TARTOOR,0,0,0,0,0,0,0,0,0,0,1072,218,4.9,1.2
TENGRA fresh,0,0,0,0,0,0,0,0,0,0,270,170,2,2.3
TENGRA dried,0,0,0,0.6,0,0,0,0,0,0,843,400,0,0
TUNNY,0,0,0,0,0,0,0,0,0,0,429,349,6.8,0.9
WHITE BAIT,0,0,0,0,0,0,0,0,0,0,643,437,3.8,2.5
BEEF meal,0,0,0,0,0,0,0,0,0,0,68,324,18.8,0.2
BEEF muscle,0,52,214,0,0,0,0,0,0,0,10,190,0.8,0
BUFFALO MEAT,0,0,0,0,0,0,0,0,0,0,3,189,0,0
DUCK,0,0,0,0,0,0,0,0,0,0,4,235,0,0.1
"EGG, duck",0,0,0,0,0,0,0,0,0,0,70,260,2.5,0.8
"EGG, hen",0,0,0,0,0,0,0,0,0,0,60,220,2.1,0
"EGG, turtle",0,0,0,0,0,0,0,0,0,0,93,299,0,3.6
FINCH,0,0,0,0,0,0,0,0,0,0,90,347,0,0
FOWL,0,0,0,0,0,0,0,0,0,0,25,245,0,0
GOAT MEAT (lean),0,0,0,0,0,0,0,0,0,0,12,193,0,0
GREY QUAIL,0,0,0,0,0,0,0,0,0,0,22,282,0,0
LIVER GOA5,0,73,160,0,0,0,0,0,0,0,17,279,0,0
LIVER SHEEP,0,0,0,0,0,0,0,0,0,0,10,380,6.3,1.3
"MUTTON, muscle",0,33,270,0,0,0,0,0,0,0,1590,150,2.5,0
PIGEON,0,0,0,0,0,0,0,0,0,0,12,290,0,0
"PORK, muscle",0,0,0,0,0,0,0,0,0,0,30,200,2.2,0
RUFF AND REEVE,0,0,0,0,0,0,0,0,0,0,3,321,0,0
"SNAIL, small",0,0,0,0,0,0,0,0,0,0,1321,147,0,3.7
"SNAIL, big",0,0,0,0,0,0,0,0,0,0,870,116,0,12.4
TURTLE'S MEAT,0,0,0,0,0,0,0,0,0,0,7,162,0,1.5
VENISON,0,0,0,0,0,0,0,0,0,0,3,233,0,1.9
MILK ass's,0,0,0,0,0,0,0,0,0,0,80,0,0,6.5
MILK buffalo's,0,19,90,0,0,0,0,0,0,0,210,130,0.2,5
MILK cow's,0,73,140,0,0,0,0,0,0,0,120,90,0.2,4.4
MILK goat's,0,11,110,0,0,0,0,0,0,0,170,120,0.3,4.6
MILK human,0,32,0,0,0,0,0,0,0,0,28,11,0,7.4
CURDS (cow's milk),0,0,130,0,0,0,0,0,0,0,149,93,0.2,3
BUTTER MILK,0,0,0,0,0,0,0,0,0,0,30,30,0.1,0.5
"SKIMMED MILK, liquid",0,0,0,0,0,0,0,0,0,0,120,90,0.2,4.6
"CHANNA, cow's milk",0,0,0,0,0,0,0,0,0,0,208,138,0,1.2
"CHANNA, buffalo's",0,0,0,0,0,0,0,0,0,0,480,277,0,7.9
CHEESE,0,0,0,0,0,0,0,0,0,0,790,520,2.1,6.3
KHOA (whole buffalo milk),0,0,0,0,0,0,0,0,0,0,650,420,5.8,20.5
KHOA (skimmed buffalo milk),0,0,0,0,0,0,0,0,0,0,990,650,2.7,25.7
KHOA (whole cow milk),0,0,0,0,0,0,0,0,0,0,956,613,0,24.9
SKIMMED MILK POWDER (cow's milk),0,0,0,0,0,0,0,0,0,0,1370,1000,1.4,51
WHOLE MILK POWDER (cow's milk),0,0,0,0,0,0,0,0,0,0,950,730,0.6,38
BUTTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHEE (cow),0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHEE (buffalo),0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGENATED OIL (fortified),0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COOKING OIL (Gnut,ging,palm,must,coconut",0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUGAR CANE,0,0,0,0,0,0,0,0,0,0,12,1,0.155,99.4
HONEY,0,0,0,0,0,0,0,0,0,0,5,16,0.696,79.5
JAGGERY (cane),0,0,0,0,0,0,0,0,0,0,80,40,2.64,95
JAGGERY (coconut),0,0,0,0,0,0,0,0,0,0,1638,62,0,83.5
JAGGERY (date palm),0,0,0,0,0,0,0,0,0,0,363,62,0,86.1
JAGGERY (fan palm),0,0,0,0,0,0,0,0,0,0,225,44,0,98.5
JAGGERY (sago palm),0,0,0,0,0,0,0,0,0,0,1252,372,0,84.7
SAGO,0,0,0,0,0,0,0,0,0,0,10,10,1.3,87.1
PACHWAI (Assam),51,0,110,0,0,0,0,0,25,0,12,100,4.5,5.8
"TODDY, fermented",0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
"TODDY, sweet",0,0,0,0,0,0,0,0,0,0,150,10,0.3,14.3
NEERA,0,0,0,0,0,0,0,0,0,0,0,140,0.1,10.9
SUGAR CANE JUICE,0,0,0,0,0,0,0,0,0,0,10,10,0.1,9.1
Amaranth seeds,,,,,,,,,,,,,,60.7
BAMBOO SEEDS,32,91,0,0.2,0,0,0,0,0,76,37,162,6.4,75.9
BANTI,0,0,0,0,0,0,0,0,0,0,14,121,5,74.7
BUCK WHEAT,227,16.2,362,0.2,0,0,0,0,148,6,64,355,15.5,65.1
CHENOPODIUM ALBUM SEEDS,292,0,0,0.5,2.1,0.1,2.4,0,0,0,300,416,5.3,0
COWAGE SEED FLOUR,0,0,0,0,0,0,0,0,0,0,188,211,0,55.6
DAINCHA SEEDS,0,0,0,0,0,0,0,0,0,0,240,390,16.5,45.1
JOB'S TEARS,0,0,0,0,0,0,0,0,0,0,23,408,4.2,63.4
OATMEAL,0,0,0,0,0,0,0,0,0,0,50,380,3.8,62.8
KITTUL FLOUR,0,0,0,0,0,0,0,0,0,0,130,60,20,81.7
LOTUS SEED,0,0,0,0,0,0,0,0,0,0,36,294,2.3,64
MAKHANA,0,0,0,0,0,0,0,0,0,0,20,90,1.4,76.9
RAJKEERA SEEDS,351,0,0,0.6,0,0,0,0,174,9,223,655,17.6,62.7
WATER LILY SEEDS,0,0,0,0,0,0,0,0,0,0,20,110,0,75.6
GOA BEANS,269,0,0,1,3.3,0,3,0,0,0,0,0,0,0
MALMANDI,0,0,0,0,0,0,0,0,0,0,154,291,0,0
SUTARI,0,0,0,0,0,0,0,0,0,0,302,297,0,60.9
"BAMBOO, tender shoots",0,0,0,0,0,0,0,0,0,0,20,65,0.1,5.7
CEYLON PASALI,0,0,0,0,0,0,0,0,0,0,120,16,0.9,4.3
CHIMTI SAG,0,0,0,0,0,0,0,0,0,0,194,48,0,6.9
GIRIA SAG,0,0,0,0,0,0,0,0,0,0,50,79,1.6,3.6
GULCHARNI,0,0,0,0,0,0,0,0,0,0,59,60,0,4.3
KASINI KEERAT,0,0,0,0,0,0,0,0,0,0,94,21,8,4.6
KATHA SAG,0,0,0,0,0,0,0,0,0,0,253,35,0,3
KENA SAG,0,0,0,0,0,0,0,0,0,0,100,50,0,2.5
KHESARI LEAVES,0,0,0,0,0,0,0,0,0,0,160,100,7.3,5.5
KOILA KARHA SAG,0,0,0,0,0,0,0,0,0,0,330,21,0,5.2
KONAR SAG,0,0,0,0,0,0,0,0,0,0,312,92,0,9.7
KORLA LEAVES,0,0,0,0,0,0,0,0,0,0,112,122,12.1,9
MANAL KEERAI,0,0,0,0,0,0,0,0,0,0,370,67,12.3,2.3
MATA SAG (lupu),0,0,0,0,0,0,0,0,0,0,1717,80,0,57.8
NACHUKOTTA KEERAI,0,0,0,0,0,0,0,0,0,0,585,45,41.6,9.1
NEEM LEAVES mature,0,0,0,0,0,0,0,0,0,0,510,80,17.1,22.9
NEEM LEAVES tender,127,72.2,254,0.6,0,0,0,0,96,26,130,190,25.3,21.2
PACHARISI KEERAI,0,0,0,0,0,0,0,0,0,0,546,106,21.2,12.3
PANNA KEERAI,0,0,0,0,0,0,0,0,0,0,268,33,24,6
PARWAR SAG,0,0,0,0,0,0,0,0,0,0,531,73,0,5.8
PASARAI KEERAI,0,0,0,0,0,0,0,0,0,0,148,25,58.2,7.9
PATUA SAG,0,0,0,0,0,0,0,0,0,0,241,93,0,8.1
POTATO LEAVES,0,0,0,0,0,0,0,0,0,0,120,50,0,3.6
PULIARA KEERAI,0,0,0,0,0,0,0,0,0,0,116,35,4.1,7.2
PUNNAKU KEERAI,0,0,0,0,0,0,0,0,0,0,250,38,35.7,10.1
PERANDAI,0,0,0,0,0,0,0,0,0,0,650,50,2.1,7.3
SARAVALLAI KEERAI,0,0,0,0,0,0,0,0,0,0,100,30,38.5,3.2
SARLI SAG,0,0,0,0,0,0,0,0,0,0,127,51,0,14.9
SEEMAI PONNANGANNI,0,0,0,0,0,0,0,0,0,0,322,29,16.8,7.5
SINDUAR SAG,0,0,0,0,0,0,0,0,0,0,323,38,0,5.8
"SINDUAR, (wild)",0,0,0,0,0,0,0,0,0,0,104,40,0,4.4
SONCHAL SAG,0,680,0,0.4,0,0,0,0,0,0,300,60,19.5,5.6
SOYA LEAVES,57,0,0,0.1,0.5,0.4,0,0,0,0,180,190,,10.8
SWEET POTATO LEAVES,0,0,0,0,0,0,0,0,0,0,360,60,10,9.7
THOODUVALAI KEERAI,0,0,0,0,0,0,0,0,0,0,334,52,5,4.6
VEETHI KEERAI,0,0,0,0,0,0,0,0,0,0,366,62,11.5,13.4
VELAIKEERAI,0,0,0,0,0,0,0,0,0,0,778,100,31.6,8.8
VELLA KEERAI,0,0,0,0,0,0,0,0,0,0,881,73,24.4,8.3
WATER CRESS,0,0,0,0,0,0,0,0,0,0,290,140,4.6,4.9
BOKWA,0,0,0,0,0,0,0,0,0,0,25,53,0,15.5
BUDHIA,0,0,0,0,0,0,0,0,0,0,200,40,0,29.9
BID ROOT,0,0,0,0,0,0,0,0,0,0,11,133,0,47.9
"CANNA, edible",0,0,0,0,0,0,0,0,0,0,20,25,0.8,24
CHUMBIA,0,0,0,0,0,0,0,0,0,0,52,49,0,28.8
CHURKIA,0,0,0,0,0,0,0,0,0,0,19,38,0,12.8
EPIDONG SANGA,0,0,0,0,0,0,0,0,0,0,277,59,0,1.7
GARMAR,0,0,0,0,0,0,0,0,0,0,153,13,0.6,11.4
JIPOO SANGA,0,0,0,0,0,0,0,0,0,0,11,7,0,4.6
LOTUS ROOT,0,0,0,0,0,0,0,0,0,0,21,74,0.4,11.3
MOOR SANGA,0,0,0,0,0,0,0,0,0,0,25,21,0,50
MURUM SANGA,0,0,0,0,0,0,0,0,0,0,24,24,0,14.7
OCHEN SANGA,0,0,0,0,0,0,0,0,0,0,64,89,0,7.6
SONG,0,0,0,0,0,0,0,0,0,0,39,64,0,30.9
TURUM SANGA,0,0,0,0,0,0,0,0,0,0,342,19,0,28
"WATER LILY, red",0,0,0,0,0,0,0,0,0,0,65,217,0,43.4
"WATER LILY, white",0,0,0,0,0,0,0,0,0,0,76,220,0,31.7
AGATHI FLOWERS,0,0,0,0,0,0,0,0,0,0,9,5,0,4.4
ARTICHOKE,0,0,0,0,0,0,0,0,0,0,120,100,2.3,16
BAGNAHA,0,0,0,0,0,0,0,0,0,0,64,81,0,11.5
"BOROOEE, raw",0,0,0,0,0,0,0,0,0,0,30,18,0,14.1
CHALTHA,0,0,0,0,0,0,0,0,0,0,16,26,0,13.4
KANDAN KATHIRI,0,0,0,0,0,0,0,0,0,0,100,90,1.2,4.8
"LOTUS SEED, green and mature",0,0,0,0,0,0,0,0,0,0,49,151,0,8.8
MADAPU GINJA,0,0,0,0,0,0,0,0,0,0,270,440,4.5,22.4
MUSHROOM,0,0,0,0,0,0,0,0,0,0,6,110,1.5,4.3
PHUTKA CHATTOO,0,0,0,0,0,0,0,0,0,0,16,73,0,14.1
NISORHA FLOWERS,0,0,0,0,0,0,0,0,0,0,1740,116,0,9.3
RHUBARB STALKS,0,0,0,0,0,0,0,0,0,0,120,10,2.2,4.3
SANGA KA PHAL,0,0,0,0,0,0,0,0,0,0,16,48,0,23.1
SANNHEMP FLOWERS,0,0,0,0,0,0,0,0,0,0,200,100,0,10.4
"SEA WEEDS, fresh",0,0,0,0,0,0,0,0,0,0,134,10,7,3.7
"SEA WEEDS, dry",0,0,0,0,0,0,0,0,0,0,1543,114,0,51.2
SILK COTTON FLOWERS,0,0,0,0,0,0,0,0,0,0,22,45,0,9.5
TETROLOBAR BEAN,0,0,0,0,0,0,0,0,0,0,30,20,0,4.8
WATER LILY FLOWERS,0,0,0,0,0,0,0,0,0,0,29,18,0,5.4
ADDA SEED (kernel),0,0,0,0,0,0,0,0,0,0,302,718,6.8,28.6
JUNGLI BADAM,274,0,517,0.8,0,0,0,0,122,12,33,415,1.7,0
OYSTER NUT,0,0,0,0,0,0,0,0,0,0,10,570,4.1,0
MANGO SEED KERNEL,0,0,0,0,0,0,0,0,0,0,40,110,0.7,35.9
ROSELLE SEEDS,0,0,0,0,0,0,0,0,0,0,300,600,0,30.9
BAJJAR BHANG,405,0,0,0,0,0,0,0,0,23,83,424,20,61.6
"TAMARIND SEED KERNEL, roasted",0,0,0,0,0,0,0,0,0,0,121,237,0,64.1
PUMPKIN SEED,0,0,0,0,0,0,0,0,0,0,50,830,5.5,15.6
OKRA (whole seed),0,0,0,0,0,0,0,0,0,0,0,0,0,0
OKRA (kernel),0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEOME VISCOSA defatted seed cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARKING NUT (kernel),0,0,0,0,0,0,0,0,0,0,295,836,6.1,28.4
BAINCHA,0,0,0,0,0,0,0,0,0,0,100,100,0,22.7
BAMBOO FRUIT,0,0,0,0,0,0,0,0,0,0,10,110,1.5,34.2
BLACKBERRY,0,0,0,0,0,0,0,0,0,0,30,20,4.3,6.7
BOROOEE,0,0,0,0,0,0,0,0,0,0,68,64,0,17.6
CARAMBOLA,0,0,0,0,0,0,0,0,0,0,4,11,0,6.1
CHERIMOYER,0,0,0,0,0,0,0,0,0,0,30,20,0.4,20.2
DURIAN,0,0,0,0,0,0,0,0,0,0,10,50,1,34.1
GAB,0,0,0,0,0,0,0,0,0,0,58,27,0,26.6
JURMATA,0,0,0,0,0,0,0,0,0,0,115,101,0,43.3
KESAUR,0,0,0,0,0,0,0,0,0,0,11,15,0,17
KILA PAZHAM,0,0,0,0,0,0,0,0,0,0,20,10,1.4,11.5
KUSUM FRUITS,0,0,0,0,0,0,0,0,0,0,15,42,0,9.9
LANGSAT,0,0,0,0,0,0,0,0,0,0,20,30,0.5,9.5
"MATASURA, whole fruit",0,0,0,0,0,0,0,0,0,0,138,28,0,10.6
"MATASURA, skin & pulp",0,0,0,0,0,0,0,0,0,0,16,22,0,9.1
MULCHARI,0,0,0,0,0,0,0,0,0,0,212,30,0,35.9
NEEM FRUIT,0,0,0,0,0,0,0,0,0,0,25,41,0,15.1
NISORHA,0,0,0,0,0,0,0,0,0,0,40,60,0,12.2
PANIYALA,0,0,0,0,0,0,0,0,0,0,43,25,0,19.9
PAPA,0,0,0,0,0,0,0,0,0,0,24,91,0,34.9
PERAR,0,0,0,0,0,0,0,0,0,0,33,13,0,12.5
PIPAL TREE FIGS,0,0,0,0,0,0,0,0,0,0,289,89,0,21.2
PIYAL,0,0,0,0,0,0,0,0,0,0,78,28,0,19.5
RAYAN,0,0,0,0,0,0,0,0,0,0,83,17,0.9,27.7
SIRK,0,0,0,0,0,0,0,0,0,0,270,94,0,33.3
STAR APPLE,0,0,0,0,0,0,0,0,0,0,5,10,0,6.3
THAVITTU PAZHAM,30,7.7,106,0.2,0,0,0,0,30,19,40,15,0.9,10.7
TUMKI,0,0,0,0,0,0,0,0,0,0,60,20,0.5,26.8
VIKKI PAZHAM,37,3.9,435,0.1,0,0,0,0,68,85,37,26,311,36.2
BOORDOOD,,,,,,,,,,,,,,0
DHAUNS,,,,,,,,,,,,,,0
FIELD RAT's MEAT,,,,,,,,,,,,,,0.1
MEAT OF NARROW SNOUTED CROCODILE,,,,,,,,,,,,,,0.3
RED ANTS WITH EGGS,,,,,,,,,,,,,,9.1
WOOD SAND PIPER,,,,,,,,,,,,,,1.5
YEAST DRIED (brewer's),,,,,,,,,,,,,,39.1
YEASR DRIED(food),,,,,,,,,,,,,,46.3
COCONUT water,,,,,,,,,,,,,,4.4
Fruit juice,,,,,,,,,,,,,,11.1
Tea with Milk 100 ml,,,,,,,,,,,,,,0
Coffee with Milk 100 ml,,,,,,,,,,,,,,0
Common Salt,,,,,,,,,,,,,,0
Pappad,,,,,,,,,,,,,,52.4
Ajinomoto,,,,,,,,,,,,,,0
Vinegar,,,,,,,,,,,,,,0.7
Soya sauce,,,,,,,,,,,,,,20
