Food Name,Carotene(µg),Thiamine(mg),Riboflavin(mg),Niacin(mg),Folicacid(mg),Folicfree(mg),Vitamin-C(mg),Choline-(mg),Energy,Fat value,Protein
MANGO RIPE,2743,0.1,0.1,0.9,0,0,16,0,74,0.4,0.6
MANGOSTEEN,0,0,0,0,0,0,0,0,60,0.1,0.5
"MELON, musk",169,0.1,0.1,0.3,0,0,26,0,17,0.2,0.3
"MELON, sweeter",0,0,0,0.1,0,0,1,0,16,0.2,0.2
MULBERRY,57,0,0.1,0.5,0,0,12,0,49,0.4,1.1
ORANGE,1104,0,0,0,0,0,30,0,48,0.2,0.7
ORANGE JUICE,15,0.1,0,0.4,0,0,64,0,9,0.1,0.2
PALMYRA FRUIT ripe (mesocarp),0,0,0,0,0,0,0,0,87,0.2,0.7
"PALMYRA FRUIT, tender",0,0,0,0.2,0,0,4,0,29,0.1,0.6
"PAPAYA, ripe",66,0,0.3,0.2,0,0,57,0,32,0.1,0.6
PASSION FRUIT,54,0.1,0.1,1.6,0,0,25,0,54,0.1,0.9
PASSION FRUIT JUICE,1968,0,0,0,0,0,13,0,37,0.2,1.2
PEACHES,0,0,0,0.5,0,0,6,0,50,0.3,1.2
PEARS,28,0.1,0,0.2,0,0,0,0,52,0.2,0.6
PERSIMMON,2268,0,0,0,0,0,33,0,76,0.2,0.7
PHALSA,419,0,0,0.3,0,0,22,0,72,0.9,1.3
PINE APPLE,18,0.2,0.1,0.1,0,0,39,8,46,0.1,0.4
PLUM,166,0,0.1,0.3,0,0,5,0,52,0.5,0.7
POMEGRANATE,0,0.1,0.1,0.3,0,0,16,0,65,0.1,1.6
PRUNES,0,0,0,0,0,0,0,0,56,0.3,0.5
PUMMELO,120,0,0,0.2,0,0,20,0,44,0.1,0.6
QUINCE,0,0,0,0.2,0,0,11,0,50,0.1,0.3
RAISINS,2,0.1,0.2,0.7,0,0,1,0,308,0.3,1.8
RASPBERRY,2248,0,0,0.8,0,0,30,0,56,0.6,1
ROSE APPLE,141,0,0.1,0.4,0,0,3,0,39,0.2,0.7
SAPOTA,97,0,0,0.2,0,0,6,0,98,1.1,0.7
SEETHAPHAL,0,0.1,0.2,1.3,0,0,37,0,104,0.4,1.6
STRAWBERRY,18,0,0,0.2,0,0,52,0,44,0.2,0.7
TOMATO RIPE,351,0.1,0.1,0.4,30,14,27,0,20,0.2,0.9
TOMATILO,48,0.1,0,2.1,0,0,2,0,31,0.6,0.7
TREE TOMATO,324,0.1,0.1,2.1,0,0,0,0,35,0.2,1.5
WOOD APPLE,61,0,0.2,0.8,0,0,3,0,134,3.7,7.1
ZIZYPHUS,21,0,0.1,0.7,0,0,76,0,74,0.3,0.8
AIR,0,0,0,0.5,0,0,11,0,89,1.3,15.9
ANCHOVY,0,0,0,0,0,0,0,0,164,9.6,19.3
BACHA,0,0,0,0.6,0,0,13,0,147,5.6,18.1
BAM,0,0,0,0.9,0,0,3,438,100,0.9,16.1
BASPATA MACHLI,0,0,0,0,0,0,0,388,112,4.4,18.2
"BATA, small varieties",0,0,0,0,0,0,0,0,89,2.5,14.3
BELEY,0,0,0,0.3,0,0,3,0,75,0.6,14.5
"BHANGER, fresh",0,0,0,1.8,0,0,12,0,154,8.8,14.8
BHAGON dried,0,0,0,0,0,0,0,0,274,2.3,61.5
BHANGAN BATA,0,0,0,0.6,0,0,0,0,144,4.4,19.4
BHEKTI fresh,0,0,0,0.7,0,0,10,349,79,0.8,14.9
BHEKTI dried,0,0,0,0,0,0,0,0,266,2,60.2
BHOLA,0,0,0,0.5,0,0,14,0,86,1.1,15.2
BIG JAWED JUMPER,0,0,0,0,0,0,0,0,130,5.8,19.4
BOAL,0,0,0,1,0,0,8,108,116,2.7,15.4
"BOMBAY DUCK, dried",0,0,0,0,0,0,0,0,293,4,61.7
BLUE MUSSEL,0,0,0,0,0,0,0,0,72,2,9.9
CAT FISH,0,0,0,2.5,0,0,0,0,86,0,21.4
CHELA,0,0,0,0,0,0,0,0,103,4.3,14.6
CHELA dried,0,0,0,0,0,0,0,0,413,17,64.8
CHINGRI small dried,0,0,0,0,0,0,0,0,292,3.9,62.4
"CHINGRI goda, dried",0,0,0,0,0,0,0,0,287,3.2,60
CHITAL,0,0,0,0,0,0,0,943,108,2.3,18.6
CRAB muscle,780,0,0,3.1,0,0,0,0,59,1.1,8.9
CRAB small,0,0,0,0,0,0,0,0,169,9.8,11.2
FOLUI,0,0,0,0.8,0,0,6,1018,109,1,19
GHOL,0,0,0,0,0,0,0,0,82,0.9,18.4
GOGGLER,0,0,0,0,0,0,0,0,93,1.6,18.7
"HERRING, Indian",0,0,0,0,0,0,0,0,119,3.2,20.3
HERRING ox-eyed,0,0,0,0,0,0,0,0,106,2.2,20.7
HILSA,0,0,0,2.8,0,0,24,1364,273,19.4,21.8
HORSE MACKEREL,0,0,0,2.9,0,0,0,0,99,1.6,21.2
INDIAN WHITING,0,0,0,0,0,0,0,0,89,0.6,19.2
JEW FISH (kora),0,0,0,0,0,0,0,0,83,0.8,18.8
JEW FISH (pallikora),0,0,0,0,0,0,0,0,100,2.2,20
KALABASU,0,0,0,0.6,0,0,11,716,76,1,14.7
KATLA,0,0,0,0.8,0,0,0,611,111,2.4,19.5
KHORSULA,0,0,0,0,0,0,0,0,117,5.1,16.3
KHOYRA fresh,0,0,0,0.5,0,0,0,0,120,3,18
KHOYRA dried,0,0,0,0,0,0,0,0,296,6.2,58.9
KOI,0,0,0,0,0,0,32,891,156,8.8,14.8
KOOCHA MACHLI,0,0,0,0,0,0,0,0,92,0.8,18.7
LATA,0,0,0,1,0,0,0,0,97,0.6,19.4
LOBSTER,0,0,0,0,0,0,0,0,90,0.9,20.5
MACKEREL,0,0,0,0,0,0,0,0,93,1.7,18.9
MAGUR,0,0,0,0,0,0,0,639,86,1,15
MAHASOLE,0,0,0,0,0,0,0,0,126,2.3,25.2
"MANDELI, dried",0,0,0,0,0,0,0,0,259,5.4,52.5
MRIGAL,0,0,0,0.7,16.7,9.7,0,480,98,0.8,19.5
MULLET,0,0,0,2.6,0,0,0,0,155,7.8,19.1
MUSHI dried,0,0,0,0,0,0,0,0,312,4.9,67
"MUSSEL, fresh water",0,0,0,0,0,0,0,0,81,1.6,14.5
"MUTIJELLA, dried",0,0,0,0,0,0,0,0,288,2.4,63.6
OIL SARDINE,0,0,0,0,0,0,0,0,97,2,19.6
PABDA,0,0,0,0,0,0,0,1018,114,2.1,19.2
PANGAS,0,0,0,0.6,0,0,7,913,161,10.8,14.2
PARSEY fresh,0,0,0,0.8,0,0,6,0,140,5.9,17.5
PARSEY dried,0,0,0,0,0,0,0,0,312,4.4,65
"POMFRETS, black",0,0,0,0,0,0,0,0,111,2.6,20.3
"POMFRETS, white",0,0,0.1,2.6,0,0,0,0,87,1.3,17
PRAWN,0,0,0.1,4.8,0,0,0,542,89,1,19.1
PUTI,0,0,0,0.3,0,0,15,393,106,2.4,18.1
RAVAS,0,0,0,0,0,0,0,0,112,1.1,22.2
RAY,0,0,0,0,0,0,0,0,97,0.5,20.9
RIBBON FISH fresh,0,0,0,2.1,0,0,0,0,104,3.2,18.1
RIBBON FISH dried,0,0,0,0,0,0,0,0,383,8.7,76.1
ROHU,0,0.1,0.1,0.7,0,0,22,819,97,1.4,16.6
SARDINE,0,0,0,2.6,0,0,0,0,101,1.9,21
SARPUTI,0,0,0,0,0,0,14,0,161,9.5,16.5
SHARK,0,0,0,2.5,0,0,0,0,93,0.4,21.6
"SHRIMP (small, dried)",0,0,0,0,18.6,15.7,0,0,349,8.5,68.1
SEER,0,0,0,1.2,0,0,0,0,126,4,22.5
SILVER BELLY,0,0,0,0,0,0,0,0,91,1.6,19.2
SINGHALA,0,0,0,0,0,0,0,0,167,3.1,20.9
SINGHI,0,0,0,0.8,0,0,9,64,124,0.6,22.8
SOLE,0,0,0,0.5,0,0,9,572,94,2.3,16.2
SOLE (malahar),0,0,0,0,0,0,0,0,120,4.7,19.5
SURMAI fresh,0,0,0,0,0,0,0,0,92,1.4,19.9
SURMAI dried,0,0,0,0,0,0,0,0,210,6.2,38.6
TAPRA (dried),0,0,0,0,0,0,0,0,334,9,62.3
TAPSI (dried),0,0,0,0,0,0,0,0,343,12.1,58.5
TARTOOR,0,0,0,0,0,0,0,0,79,0.2,18.2
TENGRA fresh,0,0,0,0,0,0,18,783,144,6.4,19.2
TENGRA dried,0,0,0,0,0,0,0,0,255,3.9,54.9
TUNNY,0,0,0,0,0,0,0,0,113,1.6,23.8
WHITE BAIT,0,0,0,2.3,0,0,0,0,81,1.4,14.5
BEEF meal,0,0,0.4,5.8,0,0,0,0,410,10.3,79.2
BEEF muscle,18,0.1,0,6.4,0,0,2,0,114,2.6,22.6
BUFFALO MEAT,0,0,0,0,7.8,4.6,0,0,86,0.9,19.4
DUCK,0,0,0,0,0,0,0,0,130,4.8,21.6
"EGG, duck",405,0.1,0.3,0.2,80,80,0,0,181,13.7,13.5
"EGG, hen",420,0.1,0.4,0.1,78.3,70.3,0,0,173,13.3,13.3
"EGG, turtle",0,0,0,0,0,0,0,0,124,6.7,12.2
FINCH,0,0,0,0,0,0,0,0,133,3,26.6
FOWL,0,0,0.1,0,6.8,3.2,0,0,109,0.6,25.9
GOAT MEAT (lean),0,0,0,0,4.5,0.5,0,0,118,3.6,21.4
GREY QUAIL,0,0,0,0,0,0,0,0,103,1.7,21.9
LIVER GOA5,0,0,0,0,176,61.2,0,0,107,3,20
LIVER SHEEP,6690,0.4,1.7,17.6,188,65.5,20,0,150,7.5,19.3
"MUTTON, muscle",9,0.2,0.1,6.8,5.8,1,0,0,194,13.3,18.5
PIGEON,0,0,0,0,0,0,0,0,137,4.9,23.3
"PORK, muscle",0,0.5,0.1,2.8,0,0,2,0,114,4.4,18.7
RUFF AND REEVE,0,0,0,0,0,0,0,0,124,2.3,25.9
"SNAIL, small",0,0,0,0,0,0,0,0,74,1,12.6
"SNAIL, big",0,0,0,0,0,0,0,0,97,0.6,10.5
TURTLE'S MEAT,0,0,0,0,0,0,0,0,86,1.5,16.5
VENISON,0,0,0,0,0,0,0,0,97,0.6,21
MILK ass's,0,0.1,0,0.1,0,0,10,0,48,1.5,2.1
MILK buffalo's,48,0,0.1,0.1,5.6,3.3,1,0,117,6.5,4.3
MILK cow's,53,0.1,0.2,0.1,8.5,5.6,2,0,67,4.1,3.2
MILK goat's,55,0.1,0,0.3,1.3,0.7,1,0,72,4.5,3.3
MILK human,41,0,0,0,0,1.3,3,0,65,3.4,1.1
CURDS (cow's milk),31,0.1,0.2,0.1,12.5,3.3,1,0,60,4,3.1
BUTTER MILK,0,0,0,0,0,0,0,0,15,1.1,0.8
"SKIMMED MILK, liquid",0,0,0,0.1,0,0,1,0,29,0.1,2.5
"CHANNA, cow's milk",110,0.1,0,0,0,0,3,0,265,20.8,18.3
"CHANNA, buffalo's",0,0,0,0,0,0,0,0,292,23,13.4
CHEESE,82,0,0,0,0,0,0,0,348,25.1,24.1
KHOA (whole buffalo milk),0,0,0,0,0,0,0,0,421,31.2,14.6
KHOA (skimmed buffalo milk),0,0,0,0,0,0,0,0,206,1.6,22.3
KHOA (whole cow milk),149,0.2,0.4,0.4,0,0,6,0,413,25.9,20
SKIMMED MILK POWDER (cow's milk),0,0.5,1.6,1,0,0,5,0,357,0.1,38
WHOLE MILK POWDER (cow's milk),420,0.3,1.4,0.8,0,0,4,0,496,26.7,25.8
BUTTER,960,0,0,0,0,0,0,0,729,81,0
GHEE (cow),600,0,0,0,0,0,0,0,900,100,0
GHEE (buffalo),270,0,0,0,0,0,0,0,900,100,0
HYDROGENATED OIL (fortified),450,0,0,0,0,0,0,0,900,100,0
"COOKING OIL (Gnut,ging,palm,must,coconut",0,0,0,0,0,0,0,0,900,100,0
Sugar cane,,,,,,,,,398,0,0.1
honey,,,,,,,,,319,0,0.3
Jaggery (cane),,,,,,,,,383,0.1,0.4
Jaggery (coconut),,,,,,,,,340,0.2,1
Jaggery (date),,,,,,,,,353,0.3,1.5
Jaggery (fan palm),,,,,,,,,359,0.1,1
Jaggery (sago palm),,,,,,,,,349,0.1,2.3
sago,,,,,,,,,351,0.2,0.2
pachwai (assam),,,,,,,,,51,1.8,3
"toddy, fermented",,,,,,,,,38,0.3,0.1
"toddy, sweet",,,,,,,,,59,0.3,0.1
neera,,,,,,,,,45,0,0.4
sugar cane juice,,,,,,,,,39,0.2,0.1
Amaranth seeds,,,,,,,,,319,1.9,14.7
BAMBOO SEEDS,0,0.2,0.1,1.1,0,0,0,0,367,1.2,13.1
BANTI,0,0.3,0,1.8,0,0,0,0,371,4.3,8.3
BUCK WHEAT,0,0.9,0.3,4.4,0,0,0,0,323,2.4,10.3
CHENOPODIUM ALBUM SEEDS,0,0.2,0.2,3.5,0,0,0,0,0,7.3,14.4
COWAGE SEED FLOUR,0,0,0.1,0,0,0,0,0,398,7,28.2
DAINCHA SEEDS,0,0,0.2,0,0,0,0,0,327,3.8,28.1
JOB'S TEARS,0,0.3,0,6.7,0,0,0,0,378,6,17.5
OATMEAL,0,1,0,1.1,34,32,0,0,374,7.6,13.6
KITTUL FLOUR,0,0,0,0,0,0,0,0,339,0.3,2.4
LOTUS SEED,0,0,0,0,0,0,0,0,346,2.4,17.2
MAKHANA,0,0,0,0,0,0,0,0,347,0.1,9.7
RAJKEERA SEEDS,0,0,0,0,0,0,0,0,364,5.3,16.5
WATER LILY SEEDS,0,0,0,0,0,0,0,0,345,1,8.3
GOA BEANS,0,0,0,0,0,0,0,0,0,18.4,32.7
MALMANDI,0,0.8,0.3,4.5,0,0,0,0,0,0,26.1
SUTARI,0,0,0,0,0,0,0,0,332,0.3,21.5
"BAMBOO, tender shoots",0,0.1,0.2,0.2,0,0,5,0,43,0.5,3.9
CEYLON PASALI,0,0,0,0,0,0,0,0,31,0.7,1.9
CHIMTI SAG,0,0,0,0,0,0,0,0,46,0.7,3.2
GIRIA SAG,2100,0,0.1,0.2,0,0,13,0,26,0.4,2
GULCHARNI,0,0,0,0,0,0,0,0,27,0.5,1.3
KASINI KEERAT,0,0,0,0,0,0,0,0,33,0.7,1.9
KATHA SAG,0,0,0,0,0,0,0,0,24,0.5,1.9
KENA SAG,0,0,0,0,0,0,0,0,22,0.4,2.1
KHESARI LEAVES,3000,0,0,0,0,0,41,0,55,1,6.1
KOILA KARHA SAG,0,0,0,0,0,0,0,0,36,0.4,3
KONAR SAG,0,0,0,0,0,0,0,0,62,1,3.6
KORLA LEAVES,1764,0.1,0.3,1.7,0,0,10,0,67,0.7,6.1
MANAL KEERAI,0,0,0,0,0,0,0,0,22,0.4,2.4
MATA SAG (lupu),0,0,0,0,0,0,0,0,303,4.8,7.2
NACHUKOTTA KEERAI,0,0,0,0,0,0,0,0,60,0.7,4.3
NEEM LEAVES mature,0,0,0,0,0,0,0,0,129,1,7.1
NEEM LEAVES tender,0,0,0,0,0,0,0,0,158,3,11.6
PACHARISI KEERAI,0,0,0,0,0,0,0,0,83,1.7,4.7
PANNA KEERAI,0,0,0,0,0,0,0,0,45,0.6,3.8
PARWAR SAG,0,0,0,0,0,0,0,0,55,1.1,5.4
PASARAI KEERAI,0,0,0,0,0,0,0,0,42,0.4,1.7
PATUA SAG,0,0,0,0,0,0,0,0,63,1.1,5.1
POTATO LEAVES,0,0,0,0,0,0,0,0,40,0.9,4.4
PULIARA KEERAI,0,0,0,0,0,0,0,0,60,1.5,4.3
PUNNAKU KEERAI,0,0,0,0,0,0,0,0,71,0.7,6.1
PERANDAI,0,0,0,0,0,0,0,0,37,0.3,1.2
SARAVALLAI KEERAI,0,0,0,0,0,0,70,0,24,0.4,2
SARLI SAG,0,0,0,0,0,0,0,0,86,1.1,4
SEEMAI PONNANGANNI,0,0,0,0,0,0,0,0,50,0.8,3.3
SINDUAR SAG,0,0,0,0,0,0,0,0,38,0.7,2
"SINDUAR, (wild)",0,0,0,0,0,0,0,0,29,0.8,1.1
SONCHAL SAG,2490,0,0,0.2,0,0,79,0,45,0.6,4.3
SOYA LEAVES,0,0,0.2,0,0,0,0,0,72,0.5,6
SWEET POTATO LEAVES,750,0.1,0.2,1.7,0,0,27,0,63,0.8,4.2
THOODUVALAI KEERAI,0,0,0.4,0,0,0,0,0,40,0.7,3.9
VEETHI KEERAI,0,0,0,0,0,0,0,0,90,0.7,7.5
VELAIKEERAI,0,0,0,0,0,0,0,0,68,0.8,6.5
VELLA KEERAI,0,0,0,0,0,0,0,0,73,1.9,5.6
WATER CRESS,2803,0.1,0,0.8,0,0,13,0,33,0.2,2.9
BOKWA,0,0,0,0,0,0,0,0,76,0.3,2.9
BUDHIA,0,0,0,0,0,0,0,0,126,0.4,0.7
BID ROOT,0,0,0,0,0,0,0,0,203,0.3,2.1
"CANNA, edible",0,0.1,0.1,1.7,0,0,5,0,104,0.4,1.1
CHUMBIA,0,0,0,0,0,0,0,0,124,0.2,1.8
CHURKIA,0,0,0,0,0,0,0,0,59,0.1,1.6
EPIDONG SANGA,0,0,0,0,0,0,0,0,17,0.2,2.2
GARMAR,93,0,0.1,0.4,0,0,0,0,49,0.2,0.3
JIPOO SANGA,0,0,0,0,0,0,0,0,22,0.1,0.6
LOTUS ROOT,0,0.1,0,0,0,0,22,0,53,0.1,1.7
MOOR SANGA,0,0,0,0,0,0,0,0,211,0.3,2.1
MURUM SANGA,0,0,0,0,0,0,0,0,65,0.1,1.4
OCHEN SANGA,0,0,0,0,0,0,0,0,37,0.1,1.5
SONG,0,0,0,0,0,0,0,0,134,0.1,2.3
TURUM SANGA,0,0,0,0,0,0,0,0,123,0.4,1.9
"WATER LILY, red",0,0,0,0,0,0,0,0,193,0.3,4.1
"WATER LILY, white",0,0,0,0,0,0,0,0,142,0.3,3.1
AGATHI FLOWERS,0,0,0,0,0,0,0,0,26,0.5,1
ARTICHOKE,37,0.2,0,0,0,0,0,0,79,0.1,3.6
BAGNAHA,0,0,0,0,0,0,0,0,105,3.8,6.1
"BOROOEE, raw",0,0,0,0,0,0,6,0,64,0.2,1.5
CHALTHA,0,0,0,0,0,0,0,0,59,0.2,0.8
KANDAN KATHIRI,0,0,0,0,0,0,0,0,39,0.8,3.1
"LOTUS SEED, green and mature",0,0,0,0,0,0,0,0,57,0.7,3.9
MADAPU GINJA,0,0,0,0,0,0,0,0,340,18.8,20.2
MUSHROOM,0,0,0,0,0,0,0,0,43,0.8,3.1
PHUTKA CHATTOO,0,0,0,0,0,0,0,0,75,0.4,3.9
NISORHA FLOWERS,0,0,0,0,0,0,0,0,61,0.5,4.7
RHUBARB STALKS,0,0,0,0,0,0,37,0,26,0.5,1.1
SANGA KA PHAL,0,0,0,0,0,0,0,0,99,0.1,1.5
SANNHEMP FLOWERS,0,0,0,0,0,0,0,0,66,0.6,4.8
"SEA WEEDS, fresh",0,0,0,0,0,0,0,0,20,0.2,0.8
"SEA WEEDS, dry",0,0,0,0,0,0,0,0,255,0.8,10.8
SILK COTTON FLOWERS,0,0,0,0,0,0,0,0,47,0.3,1.5
TETROLOBAR BEAN,0,0,0,0,0,0,0,0,30,0.4,1.9
WATER LILY FLOWERS,0,0,0,0,0,0,0,0,33,0.6,1.6
ADDA SEED (kernel),0,0.2,0.2,1.1,0,0,0,0,493,29.9,27.3
JUNGLI BADAM,0,0.1,0.1,1.1,0,0,5,0,0,35.5,11.4
OYSTER NUT,0,0,0,0,0,0,0,0,689,63.3,29.7
MANGO SEED KERNEL,0,0,0,0,0,0,0,0,192,4.2,2.6
ROSELLE SEEDS,0,0,0,0,0,0,0,0,399,21.3,20.9
BAJJAR BHANG,0,0,0,0,0,0,0,0,392,8.5,17.2
"TAMARIND SEED KERNEL, roasted",0,0,0,0,0,0,0,0,387,7.3,16.1
PUMPKIN SEED,0,0,0,0,0,0,0,0,584,47.2,24.3
OKRA (whole seed),0,0,0,0,0,0,0,0,0,17.9,21.1
OKRA (kernel),0,0,0,0,0,0,0,0,0,36.5,38.9
CLEOME VISCOSA defatted seed cake,0,0.1,0.1,0.1,0,0,0,0,0,0,20.4
MARKING NUT (kernel),0,0,0,0,0,0,0,0,587,36.4,26.4
BAINCHA,0,0,0,0,0,0,0,0,114,1.8,1.7
BAMBOO FRUIT,11,0.1,0.1,0,0,0,1,0,153,0.1,3.9
BLACKBERRY,7,0,0,2,0,0,9,0,37,0.5,1.3
BOROOEE,0,0,0,0,0,0,0,0,81,0.3,2
CARAMBOLA,0,0,0,0,0,0,0,0,28,0.1,0.7
CHERIMOYER,2,0,0.2,1,0,0,7,0,89,0.3,1.3
DURIAN,12,0,0,0,0,0,0,0,183,3.9,2.8
GAB,0,0,0,0,0,0,0,0,113,0.1,1.4
JURMATA,0,0,0,0,0,0,0,0,195,0.3,4.8
KESAUR,0,0,0,0,0,0,0,0,75,0.1,1.6
KILA PAZHAM,48,0,0,0,0,0,0,0,55,0.6,0.8
KUSUM FRUITS,0,0,0,0,0,0,0,0,53,0.8,1.5
LANGSAT,7,0.1,0.1,0,0,0,1,0,44,0.3,0.8
"MATASURA, whole fruit",0,0,0,0,0,0,0,0,59,1,1.9
"MATASURA, skin & pulp",0,0,0,0,0,0,0,0,60,1.6,2.3
MULCHARI,0,0,0,0,0,0,0,0,160,1,1.8
NEEM FRUIT,0,0,0,0,0,0,0,0,75,1,1.3
NISORHA,0,0,0,0,0,0,0,0,65,1,1.8
PANIYALA,0,0,0,0,0,0,0,0,83,0.1,0.5
PAPA,0,0,0,0,0,0,0,0,182,3.1,3.7
PERAR,0,0,0,0,0,0,0,0,56,0.2,1
PIPAL TREE FIGS,0,0,0,0,0,0,0,0,110,1.7,2.5
PIYAL,0,0,0,0,0,0,0,0,94,0.8,2.2
RAYAN,495,0.1,0.1,0.7,0,0,16,0,134,2.4,0.5
SIRK,0,0,0,0,0,0,0,0,158,1.3,3.2
STAR APPLE,0,0,0,0,0,0,0,0,28,0.2,0.3
THAVITTU PAZHAM,44,0.1,0,0.3,0,0,0,0,47,0.2,0.6
TUMKI,361,0,0,2.3,0,0,1,0,112,0.2,0.8
VIKKI PAZHAM,190,0,0.1,0.3,0,0,0,0,153,0.1,1.4
BOORDOOD,,,,,,,,,598,44.5,49.3
DHAUNS,,,,,,,,,82,0.4,19.6
FIELD RAT's MEAT,,,,,,,,,104,1,23.6
MEAT OF NARROW SNOUTED CROCODILE,,,,,,,,,87,0.4,20.6
RED ANTS WITH EGGS,,,,,,,,,131,4.6,13.4
WOOD SAND PIPER,,,,,,,,,117,2.1,22.9
YEAST DRIED (brewer's),,,,,,,,,320,0.6,39.5
YEASR DRIED(food),,,,,,,,,344,1.8,35.7
COCONUT water,,,,,,,,,24,0.1,1.4
Fruit juice,,,,,,,,,46,0.1,0.4
Tea with Milk 100 ml,,,,,,,,,54,1.5,0
Coffee with Milk 100 ml,,,,,,,,,87,3,0
Common Salt,,,,,,,,,0,0,0
Pappad,,,,,,,,,288,0.3,18.8
Ajinomoto,,,,,,,,,0,0,0
Vinegar,,,,,,,,,20,0,0
Soya sauce,,,,,,,,,100,0,6.7
